id,name,owner,url,access_mode,status,key_fields,notes,relevant_to
S001,Richmond GeoHub,City of Richmond GIS,https://richmond-geo-hub-cor.hub.arcgis.com/,REST API / web,Verified (hub); Likely (DPW layers),"project_name, status, geometry, description",Verify specific DPW layer names before building; REST endpoints available for public layers,Transportation Project Visibility
S002,Richmond Open Data Portal,City of Richmond,https://data.richmondgov.com/,Socrata API / CSV,Verified (portal); Likely (DPW datasets),"dataset varies by table; filter by department","Check for capital improvement, road maintenance, permit datasets",Transportation Project Visibility
S003,DPW Program Pages,City of Richmond DPW,https://www.rva.gov/public-works,HTML scrape / manual,Likely,"project_name, description, status, contact","Scattered across multiple pages; technical language; verify current URLs",Transportation Project Visibility
S004,VDOT Project Tracker,Virginia DOT,https://www.virginiadot.org/projects/,Web / public,Likely,"project_name, route, status, funding","Relevant for state-maintained roads in Richmond city limits",Transportation Project Visibility
S005,GRTC GTFS Feed,GRTC Transit,https://ridegrtc.com/,GTFS download,Verified,"stop_id, stop_lat, stop_lon, route_id","Useful if tracking infrastructure impact on transit stops",Transportation Project Visibility
S006,USASpending.gov,Federal agencies,https://www.usaspending.gov/,API / CSV,Verified,"award_id, recipient, description, amount, place_of_performance","Richmond RAISE/TIGER grant data for project context",Transportation Project Visibility
S007,DPW GPS Fleet Data,City of Richmond DPW,Not publicly available,Internal (not available),Not ready (D3=2),"vehicle_id, route_id, lat, lng, timestamp, completion_pct","GPS being installed; use synthetic schema only; see dpw_data_landscape.md",Fleet Operations
S008,Snow Removal Zone Data,City of Richmond DPW,Unknown,Unknown,Unknown,"zone_id, zone_name, geometry","Key gap for fleet MVP; zone boundaries may not be public; may need synthetic or council-district proxy",Fleet Operations
S009,Street Cleaning Schedules,City of Richmond DPW,Unknown,Unknown,Unknown,"zone_id, schedule_day, frequency","Historical schedules not yet linked; may exist as internal documents; critical for schedule-based MVP",Fleet Operations
S010,Richmond 311 Data,City of Richmond,https://data.richmondgov.com/,Socrata API,Likely,"request_type, address, status, date","Service requests may indicate infrastructure issues; check for road/construction categories",Transportation Project Visibility
